iter	F1	Logloss
106	0.9797063431	0.1037770659
107	0.979957729	0.1030404647
108	0.9800320653	0.1023803289
109	0.980249253	0.1021101348
110	0.980512148	0.1014581335
111	0.9806193078	0.1005955069
112	0.9809381492	0.09975644053
113	0.9812310944	0.09930252659
114	0.9811980761	0.09859470533
115	0.9812695868	0.09850663461
116	0.9811980761	0.09808980544
117	0.9810784206	0.0972397975
118	0.9818155315	0.09626218569
119	0.9819931472	0.09565601345
120	0.9821018481	0.09536090481
121	0.9822079627	0.09529874411
122	0.9824586995	0.09494087388
123	0.9828988149	0.09433767022
124	0.9829704992	0.09404279476
125	0.9832288173	0.09366444047
126	0.9832312628	0.09319411416
127	0.9835958005	0.09254891996
128	0.9837751121	0.09196617346
129	0.9840274232	0.09155128148
130	0.9840274232	0.09094371015
131	0.9841709826	0.09045290875
132	0.9842427779	0.0901889567
133	0.984531193	0.08986647619
134	0.9847074711	0.08937400665
135	0.984745639	0.08890230816
136	0.984962406	0.08855433019
137	0.9851454433	0.08828306881
138	0.9851814001	0.0882078679
139	0.9853252537	0.08796385284
140	0.9853601548	0.08780137941
141	0.9857241958	0.08722142211
142	0.9860121982	0.08699053694
143	0.9861202425	0.08678466492
144	0.986631602	0.08658974345
145	0.9867777047	0.08598238736
146	0.9868137488	0.08595958943
147	0.9868858447	0.08587147387
148	0.9869238074	0.08525035113
149	0.9869238074	0.08517050454
150	0.9869598568	0.08496564596
151	0.9870319635	0.08481602441
152	0.9873242009	0.08431928586
153	0.9873972603	0.08419756532
154	0.9875415586	0.08383730947
155	0.9876507125	0.08337999646
156	0.9876867989	0.08297911329
157	0.9877950742	0.08280092704
158	0.9879024889	0.08238894086
159	0.988046935	0.08198255999
160	0.9880108195	0.08162946101
161	0.9881931498	0.08140888064
162	0.9882292733	0.08133982316
163	0.9884099302	0.08130839752
164	0.9887377505	0.08078309428
165	0.9888848263	0.08018818649
166	0.9889209843	0.08015787294
167	0.9890664424	0.07992553487
168	0.9891749561	0.07948783598
169	0.9893204594	0.07922544445
170	0.9894652133	0.07899428125
171	0.9894290208	0.0786040975
172	0.9895014083	0.07816968109
173	0.9896462152	0.07808962822
174	0.9896824235	0.07805398738
175	0.9898272834	0.07794573754
176	0.9899366926	0.07750994894
177	0.9900091491	0.07745225455
178	0.9900823422	0.07732062381
179	0.990228013	0.07710590885
180	0.990228013	0.07707259983
181	0.9901917728	0.07694672687
182	0.9901917728	0.07669591368
183	0.9901917728	0.07660118833
184	0.9901917728	0.07656969992
185	0.9905194187	0.07626210712
186	0.990228013	0.07588503533
187	0.990228013	0.07578215761
188	0.9903367496	0.07539595588
189	0.9905187246	0.0750512828
190	0.9905187246	0.0749729205
191	0.9905187246	0.07494094778
192	0.9905159471	0.07453093018
193	0.9906247711	0.07444773834
194	0.9908465144	0.07386113986
195	0.9908088908	0.07349347154
196	0.990881459	0.07343149469
197	0.990881459	0.07339956681
198	0.990917747	0.07332241077
199	0.990917747	0.07328308836
200	0.990881459	0.07325997653
201	0.9909916508	0.07265018998
202	0.9909916508	0.07262320824
203	0.9910279416	0.07257077836
204	0.9911368298	0.07251341581
205	0.9911368298	0.07247561356
206	0.9911718378	0.07204434061
207	0.9911718378	0.07196568683
208	0.9912087912	0.07187314083
209	0.9912814126	0.07183067945
210	0.9912814126	0.07140845123
211	0.9912814126	0.07131946573
212	0.9914273154	0.07084890624
213	0.9914273154	0.07081590663
214	0.9914999634	0.07077444075
215	0.9915356711	0.07039286677
216	0.9915356711	0.0703652079
217	0.9915356711	0.0700967985
218	0.991644679	0.06964239578
219	0.991644679	0.06961585797
220	0.9917173642	0.06946101226
221	0.9917537108	0.06928317579
222	0.9917537108	0.06920005569
223	0.9917900601	0.06892117108
224	0.9918270112	0.06881096161
225	0.9918270112	0.06879519947
226	0.9918997178	0.06841715459
227	0.9919360751	0.06838804282
228	0.9920463292	0.06810738693
229	0.9921565753	0.06776546719
230	0.9923748075	0.06742277167
231	0.9924481267	0.06734540038
232	0.9924117453	0.06696210445
233	0.9924481267	0.06694337821
234	0.9924481267	0.06684341078
235	0.9925208975	0.06680267583
236	0.9925572869	0.0667731829
237	0.992593679	0.06634073956
238	0.9926300737	0.06630806281
239	0.9928120874	0.06618903731
240	0.9928115602	0.0659622911
241	0.9928843897	0.06576050424
242	0.9928838677	0.06541853516
243	0.9929202891	0.06539585382
244	0.9929202891	0.06534287238
245	0.9929202891	0.06531989059
246	0.9929567131	0.06527416018
247	0.9931034483	0.06488703021
248	0.9930670188	0.06482776185
249	0.9930665101	0.06446735353
250	0.9931398804	0.0643764398
251	0.9931763152	0.06432105929
252	0.9934328796	0.06406692775
253	0.9934328796	0.06404637194
254	0.9934333615	0.06391576809
255	0.9934333615	0.06389520331
256	0.9934333615	0.06385626207
257	0.993469807	0.06380282772
258	0.993469807	0.06378331225
259	0.993469807	0.06373103933
260	0.9935062553	0.0637051338
261	0.9935062553	0.0636735557
262	0.9936156161	0.06363238129
263	0.9936889998	0.06346307387
264	0.9936156161	0.06329092343
265	0.9936525408	0.06322260136
266	0.9936525408	0.06319408152
267	0.9936889998	0.0631072664
268	0.9937619257	0.06267806069
269	0.9937619257	0.06259944278
270	0.9937983927	0.06255305767
271	0.9938713347	0.06252362752
272	0.9938713347	0.06243911282
273	0.9938713347	0.06242295606
274	0.9939447319	0.06237877273
275	0.9939816514	0.06234436954
276	0.9939816514	0.06232415902
277	0.9940185681	0.06206126525
278	0.9940915263	0.06204192467
279	0.9940915263	0.06201553036
280	0.9940915263	0.06199575481
281	0.9942374748	0.06195974627
282	0.9942374748	0.06189797121
283	0.9942739686	0.06180993637
284	0.9942739686	0.06179749706
285	0.9943469642	0.06171159224
286	0.9942001321	0.06134868619
287	0.9943100474	0.06127526105
288	0.9944925833	0.06116785424
289	0.9945660156	0.06111636157
290	0.9945660156	0.06086538246
291	0.9945295003	0.06083335145
292	0.9945295003	0.06080450426
293	0.9945295003	0.06079047303
294	0.9944925833	0.0607386575
295	0.9945290986	0.06069046972
296	0.9945656165	0.06067007534
297	0.9945652174	0.06031253247
298	0.9946390541	0.06003155819
299	0.9946386604	0.05992554599
300	0.9946386604	0.05990829507
301	0.9946751864	0.05983107625
302	0.9946751864	0.05980560121
303	0.9946751864	0.0597653685
304	0.9946751864	0.05974822969
305	0.9946386604	0.05972903261
306	0.9946386604	0.05967846369
307	0.9947121034	0.05964701115
308	0.9947474747	0.0593323153
309	0.9947109381	0.05930056231
310	0.9948947736	0.05896849895
311	0.9949313157	0.05893913159
312	0.9949678604	0.05891310499
313	0.9949678604	0.05890004236
314	0.9950044079	0.05882826294
315	0.995040958	0.05879001226
316	0.9950044079	0.05871440329
317	0.995040958	0.05870036758
318	0.995040958	0.05865796001
319	0.995040958	0.05864462384
320	0.9950775108	0.05859577688
321	0.9951140663	0.0585807367
322	0.9952606635	0.05854548599
323	0.9952972298	0.05851819035
324	0.9953337987	0.05849923542
325	0.9953337987	0.05848785887
326	0.9953337987	0.05846283226
327	0.9953703704	0.05839363576
328	0.9953703704	0.0580464246
329	0.9954069447	0.05796488296
330	0.9954069447	0.05795177998
331	0.9954069447	0.05789244435
332	0.9954438566	0.05786166893
333	0.9956283752	0.05777715871
334	0.9956649522	0.05773779146
335	0.9956649522	0.05771943742
336	0.9956649522	0.05770477391
337	0.9956283752	0.05768402528
338	0.9956283752	0.05767232586
339	0.9956283752	0.05766145155
340	0.9956283752	0.05764304818
341	0.9956283752	0.05762475692
342	0.9956649522	0.0576016675
343	0.9956280539	0.05757413868
344	0.9956280539	0.05755325552
345	0.9956280539	0.05751504969
346	0.9956280539	0.05750480317
347	0.9956646337	0.05747715327
348	0.9956646337	0.05744201467
349	0.9956646337	0.05702457115
350	0.9956646337	0.05701035159
351	0.9956646337	0.05699653113
352	0.9957018478	0.05679408956
353	0.9957750101	0.05675768192
354	0.9958115953	0.05673869559
355	0.9958481831	0.05672803204
356	0.9958847737	0.05669629251
357	0.9958847737	0.05665453515
358	0.9958847737	0.05662200639
359	0.9958847737	0.05656216404
360	0.9958847737	0.0565502718
361	0.9958481831	0.05652130802
362	0.9958481831	0.05650875211
363	0.9958847737	0.05629998775
364	0.9959213669	0.05628075031
365	0.9959219663	0.05608788711
366	0.9959957386	0.05569816972
367	0.9960689224	0.05542795317
368	0.9960689224	0.05541727168
369	0.9960689224	0.05539767102
370	0.9960689224	0.05532157326
371	0.9960320376	0.05511570124
372	0.9960320376	0.05500907918
373	0.9959585568	0.05483291533
374	0.9959951501	0.05477122547
375	0.9959951501	0.0547375308
376	0.9960683447	0.05472756231
377	0.9961052322	0.05469897072
378	0.9960686336	0.05441793815
379	0.9961421171	0.05394049982
380	0.9961787184	0.05385461294
381	0.9962153224	0.05383852344
382	0.9962522046	0.05376512072
383	0.9962522046	0.05362666046
384	0.9962522046	0.05360519435
385	0.9963625675	0.05331628744
386	0.9962893567	0.05330630101
387	0.9962893567	0.05325387561
388	0.9963628348	0.05322412708
389	0.9963994415	0.05319543684
390	0.9963994415	0.05318317241
391	0.9963994415	0.05317609626
392	0.9965095345	0.05283880875
393	0.9965095345	0.05282832008
394	0.9965095345	0.05281689421
395	0.9965095345	0.05280033387
396	0.9965461493	0.05278721294
397	0.9965458955	0.05251812642
398	0.9965458955	0.05250795166
399	0.996509278	0.05247548119
400	0.9964726631	0.05242470151
401	0.9965095345	0.05240796628
402	0.9965095345	0.05237103398
403	0.9965464031	0.05235876955
404	0.996583269	0.05226704418
405	0.996583269	0.05225094571
406	0.996583269	0.05211059759
407	0.996583269	0.05209081307
408	0.996583269	0.05208225711
409	0.996583269	0.0520534996
410	0.9965827669	0.05181903151
411	0.9966562557	0.0516787641
412	0.9966562557	0.05166953103
413	0.9966562557	0.05165878228
414	0.9966928787	0.05164972857
415	0.9967661326	0.0516192222
416	0.9968398618	0.05157635275
417	0.9968764929	0.05156641565
418	0.9968764929	0.05153635771
419	0.9968764929	0.05152323678
420	0.9968764929	0.0515123266
421	0.9968764929	0.05149943886
422	0.9968764929	0.05147604003
423	0.9968764929	0.05138810833
424	0.9969133534	0.05136227904
425	0.9969133534	0.0513526379
426	0.9969502113	0.05133787125
427	0.9969870664	0.05130867877
428	0.9970237002	0.05129660268
429	0.9970237002	0.05128468354
430	0.9970237002	0.05126873305
431	0.9970237002	0.05125541482
432	0.9970237002	0.05121785473
433	0.9970237002	0.05120326297
434	0.9970237002	0.05118630353
435	0.9970237002	0.05114694076
436	0.9970603366	0.0511398691
437	0.9970603366	0.05112563608
438	0.9970603366	0.05069955589
439	0.9970969757	0.05068828697
440	0.9971336175	0.0505283023
441	0.9971336175	0.05051576882
442	0.9971336175	0.05050451335
443	0.997170262	0.05041711976
444	0.997170262	0.0503823399
445	0.9972071145	0.05036073028
446	0.9972071145	0.05035277971
447	0.9972439643	0.05024984818
448	0.9972439643	0.05024242226
449	0.9972439643	0.050210176
450	0.9973172614	0.05020109988
451	0.9972069092	0.04990085229
452	0.9972437617	0.04989191966
453	0.9972804116	0.04987603644
454	0.9972804116	0.04985723845
455	0.997353914	0.04954593718
456	0.997353914	0.04952817057
457	0.997353914	0.0495034758
458	0.997353914	0.04949237727
459	0.9973907611	0.0494822339
460	0.9974274164	0.04938998834
461	0.9974640744	0.04938031581
462	0.9974640744	0.04937406476
463	0.9974640744	0.04935940574
464	0.9974640744	0.04932239721
465	0.9974640744	0.0493165049
466	0.9974640744	0.0492911913
467	0.9974640744	0.04927634843
468	0.9974640744	0.04926572075
469	0.9974640744	0.04925804819
470	0.9973903775	0.04901920795
471	0.9974270382	0.04898988543
472	0.9974270382	0.04898158508
473	0.997463888	0.04897423987
474	0.9975372174	0.04880882029
475	0.9975738862	0.04880063205
476	0.9976474048	0.04878918824
477	0.9976474048	0.04874025159
478	0.9976474048	0.04861153114
479	0.997684079	0.04855788603
480	0.997684079	0.04854949599
481	0.997684079	0.04852827203
482	0.997684079	0.0485196802
483	0.997684079	0.04850357277
484	0.997684079	0.04847937126
485	0.9976472318	0.04807954636
486	0.9976472318	0.04805832688
487	0.9977209234	0.04783108292
488	0.9977209234	0.04782434309
489	0.9977209234	0.04781444186
490	0.9977209234	0.04767670806
491	0.9977209234	0.04752832864
492	0.9977209234	0.04752302825
493	0.9977209234	0.04751477274
494	0.9977209234	0.04749139633
495	0.9977577651	0.04748625738
496	0.997794442	0.04745158963
497	0.9978311216	0.04742619082
498	0.9978678038	0.04734903927
499	0.9978309621	0.04708435628
